,Article Title,Abstract,Topics
51,"Fine-scale population structure and connectivity of bottlenose dolphins, Tursiops truncatus, in European waters and implications for conservation","Protecting species often involves the designation of protected areas, wherein suitable management strategies are applied either at the taxon or ecosystem level. Special Areas of Conservation (SACs) have been created in European waters under the Habitats Directive to protect bottlenose dolphins, Tursiops truncatus, which forms two ecotypes, pelagic and coastal. The SACs have been designated in coastal waters based on photo-identification studies that have indicated that bottlenose dolphins have relatively high site fidelity. However, individuals can carry out long-distance movements, which suggests potential for demographic connectivity between the SACs as well as with other areas. Connectivity can be studied using genetic markers. Previous studies on the species in this area used different sets of genetic markers and therefore inference on the fine-scale population structure and demographic connectivity has not yet been made at a large scale. A common set of microsatellite markers was used in this study to provide the first comprehensive estimate of genetic structure of bottlenose dolphins in European Atlantic waters. As in previous studies, a high level of genetic differentiation was found between coastal and pelagic populations. Genetic structure was defined at an unprecedented fine-scale level for coastal dolphins, leading to identification of five distinct coastal populations inhabiting the following areas: Shannon estuary, west coast of Ireland, English Channel, coastal Galicia, east coast of Scotland and Wales/west Scotland. Demographic connectivity was very low among most populations with <10% migration rate, suggesting no demographic coupling among them. Each local population should therefore be monitored separately. The results of this study have the potential to be used to identify management units for bottlenose dolphins in this region and thus offer a significant contribution to the conservation of the species in European Atlantic waters. Future studies should prioritize obtaining biopsies from free-living dolphins from areas where only samples from stranded animals were available, i.e. Wales, west Scotland and Galicia, in order to reduce uncertainty caused by sample origin doubt, as well as from areas not included in this study (e.g. Iroise Sea, France). Furthermore, future management strategies should include monitoring local population dynamics and could also consider other options, such as population viability analysis or the incorporation of genetic data with ecological data (e.g. stable isotope analysis) in the designation of management units.",Conservation and adaptation
52,The Inorganic Carbon Chemistry in Coastal and Shelf Waters Around Ireland,"The wintertime spatial distribution of carbonate parameters in outer estuarine and coastal waters around Ireland is described from total alkalinity (TA) and dissolved inorganic carbon (DIC) data collected between 2010 and 2013. Due to predominantly limestone bedrock of their river catchments, the River Shannon and Barrow, Nore and Suir River system export high concentrations (> 3800 mu mol kg(-1)) of TA to their estuarine and inshore coastal waters where estuarine alkalinity decreases with increasing salinity. TA is lower in rivers with a non-calcareous bedrock, with positively correlated alkalinity-salinity relationships in both the Lee and Foyle outer estuaries. Winter pCO(2) in the Shannon, Barrow/Nore/Suir and Lee estuaries is supersaturated relative to atmospheric CO2, while pCO(2) in the outer Liffey estuary is slightly lower than atmospheric CO2 in three consecutive winters, indicative of a CO2 sink. Winter pCO(2) is close to atmospheric equilibrium along the western shelf and through the centre of the Irish Sea, while it is a CO2 sink across the North Channel. While aragonite was supersaturated in most Irish waters, it was close to undersaturation in both the Lee estuary, attributed to its low alkalinity freshwater source, and Barrow/Nore/Suir estuary related to the flux of high concentrations of DIC from this river system. The seasonal impacts on inorganic carbon chemistry was also investigated by comparing winter and summer data collected between 2009 and 2013 along two transects in western coastal waters and along the western shelf edge. DIC was similar to 60 mu mol kg(-1) lower in summer relative to winter in the coastal transects and 39 mu mol kg(-1) lower along the shelf edge, accompanied by depleted nutrients and supersaturation of dissolved oxygen during summer, indicative of primary production. TA was generally higher in summer relative to winter corresponding with a decrease in nitrate, indicating that primary production dominated the TA distribution over calcification. An exception to this was at two stations along the shelf edge where TA was lower in summer relative to winter (51 mu mol kg(-1)) and coincides with high reflectance in satellite images from a coccolithophore bloom at the time of sampling. While pCO(2) was close to atmospheric equilibrium along the shelf edge during winter, this area was a CO2 sink during summer, apart from the stations where calcification was likely occurring resulting in elevated CO2 relative to atmospheric concentrations.",Winter and seasonal variability.
53,Investigation of the estrogenic risk to feral male brown trout (Salmo trutta) in the Shannon International River Basin District of Ireland,"The estrogenic potential of sewage treatment effluents and their receiving waters in the Shannon International River Basin District (SIRBD) of Ireland was investigated. An integrated approach, combining biological and chemical methods, was conducted to assess 11 rivers adjacent to sewage treatment plants (STPs) and their possible interference with the endocrine system of feral brown trout (Salmo trutta). Hepatosomatic index, gonadosomatic index, condition factor, histological (intersexuality) and endocrine (vitellogenin induction) parameters were assessed in a sample size of 10 at each location. The estrogenic burden was determined using an in vitro recombinant yeast assay containing the human estrogen receptor (YES assay). In addition, endocrine disrupting chemicals (EDCs) were quantitatively identified through a selection of pre-concentration techniques combined with chromatographic analysis at or near the selected locations. Chemical analysis of representative site samples identified phthalates and an alkylphenol in water and sediments in mu g/L and mg/kg concentrations, respectively. There were no significant difference in somatic indices or the condition factor between upstream control and downstream test sites, and there was no evidence of reproductive alterations or the presence of intersex in studied male brown trout. However, raised vitellogenin (vtg) levels were detected in the blood plasma samples of male brown trout at 8 of the 11 sites. Significant levels were reported at 3 of the positive sites (p <= 0.05). In one particular location, vtg induction was observed in 100% of the male brown trout sampled downstream. These findings were supported by the YES assay, where estrogenic activity was detected in the same upstream and downstream sites giving 17 beta-estradiol equivalency factor (EEF) values of up to 2.67 ng/L This study represents an integrated assessment approach, confirming the presence of estrogens in rivers of the SIRBD of Ireland, thus suggesting a cause-effect relationship to prolonged EDC-exposure in fish. (C) 2010 Elsevier Inc. All rights reserved.",Environmental and social responsibility
54,"EXTENSIVE HYBRIDISATION BETWEEN ROACH, RUTILUS RUTILUS L., AND COMMON BREAM, ABRAMIS BRAMA L., IN IRISH LAKES AND RIVERS","Widespread hybridisation between roach (Rutilus rutilus L.) and common bream (Abramis brama L.) was recorded throughout Ireland in the 1970s and 1980s following the establishment of invasive roach populations. To identify the post-invasion levels of hybridisation, a fish stock monitoring program was implemented in lake and river sites, predominantly within the extended River Shannon catchment. Roach x bream hybrids were the second or third most prolific fish recorded during these surveys, accounting for approximately 20%-30% of fish caught. The abundance of roach x bream hybrids is unique to Ireland and represents a potential threat to bream populations in invaded catchments.",roach and bream
55,"Pollution trace gases C2H6, C2H2, HCOOH, and PAN in the North Atlantic UTLS: observations and simulations","Measurements of the pollution trace gases ethane (C2H6), ethyne (C2H2), formic acid (HCOOH), and peroxyacetyl nitrate (PAN) were performed in the North Atlantic upper troposphere and lowermost stratosphere (UTLS) region with the airborne limb imager GLORIA (Gimballed Limb Observer for Radiance Imaging of the Atmosphere) with high spatial resolution down to cloud top. Observations were made during flights with the German research aircraft HALO (High Altitude and LOng Range Research Aircraft) in the frame of the WISE (Wave-driven ISentropic Exchange) campaign, which was carried out in autumn 2017 from Shannon (Ireland) and Oberpfaffenhofen (Germany). Enhanced volume mixing ratios (VMRs) of up to 2.2 ppbv C2H6, 0.2 ppbv C2H2, 0.9 ppbv HCOOH, and 0.4 ppbv PAN were detected during the flight on 13 September 2017 in the upper troposphere and around the tropopause above the British Isles. Elevated quantities of PAN were measured even in the lowermost stratosphere (locally up to 14 km), likely reflecting the fact that this molecule has the longest lifetime of the four species discussed herein. Backward trajectory calculations as well as global three-dimensional Chemical Lagrangian Model of the Stratosphere (CLaMS) simulations with artificial tracers of air mass origin have shown that the main sources of the observed pollutant species are forest fires in North America and anthropogenic pollution in South Asia and Southeast Asia uplifted and moved within the Asian monsoon anticyclone (AMA) circulation system. After release from the AMA, these species or their precursor substances are transported by strong tropospheric winds over large distances, depending on their particular atmospheric lifetime of up to months. Observations are compared to simulations with the atmospheric models EMAC (ECHAM5/MESSy Atmospheric Chemistry) and CAMS (Copernicus Atmosphere Monitoring Service). These models are qualitatively able to reproduce the measured VMR enhancements but underestimate the absolute amount of the increase. Increasing the emissions in EMAC by a factor of 2 reduces the disagreement between simulated and measured results and illustrates the importance of the quality of emission databases used in chemical models.","Forest fires, anthropogenic pollution, and atmospheric pollution."
56,"THE CRYPTOGENIC RED ALGA BANGIA ATROPURPUREA IN LOUGH DERG, RIVER SHANNON, IRELAND","The filamentous and euryhaline red alga Bangia atropurpurea (Rhodophyta, Bangiophyceae) is a little-known member of the Irish aquatic flora. Although a common freshwater species in the northern hemisphere, it seems that the lower Shannon Navigation is one of the principal freshwater localities for the species in Ireland. It was recorded from thirteen sites in Lough Derg in 1972 and in the 2010 survey reported here at 40 sites including islands and navigation buoys as well as on lock gates. It attaches to rocks and other hard surfaces immediately above and below the waterline. It may have been introduced to Lough Derg on the hulls of commercial vessels. Changes in climatic conditions, eutrophication, competition from other filamentous algae and fluctuating lake levels are all pressures that could affect the sustainability of Bangia within the Shannon Navigation. Nevertheless, this study shows that B. atropurpurea has persisted for at least 40 years in Lough Derg and remains widespread despite highly variable environmental conditions.","Changes in climate, eutrophication, and fluctuating lake levels"
57,Using social media as a cost-effective resource in the photo-identification of a coastal bottlenose dolphin community,"Bottlenose dolphins encountered around the Irish coast are considered part of a wide-ranging coastal community; however, knowledge on the significance of the north of Ireland for this species is limited by a lack of dedicated effort. Through social media, the opportunity now exists to gather large volumes of citizen science data in the form of high-quality images, potentially extending the spatial and temporal scope of photo-identification studies. The purpose of this study was to investigate social media as a data resource for photo-identification studies and to provide a preliminary assessment of bottlenose dolphins in the north of Ireland. Specifically, the study sought to examine the photo-identification data for spatial clustering. The study identified 54 well-marked individuals and provided evidence of potential year-round occurrence, with successful re-sightings throughout the study period (2007-2016). There was a geographic concentration of re-sightings along the north of Ireland, suggestive of interannual site fidelity. These results provide scientific rationale for strategically targeting the north of Ireland in future research on the Irish coastal community. For effective conservation of the bottlenose dolphin it is imperative that scientific research, and resultant management objectives, consider wide-ranging communities such as the Irish coastal community. Our research highlights data collection via social media as a cost-effective and scientifically valuable tool in the photo-identification of coastal cetaceans. We recommend that this method is used in research on low-density and wide-ranging coastal cetaceans.",Conservation and research
58,FIRST REPORT OF INTERSEX ROACH RESIDING IN IRISH RIVERS DOWNSTREAM OF SEVERAL WASTEWATER TREATMENT PLANTS,"Endocrine disrupting chemicals (EDCs) are chemicals that have the ability to mimic or disrupt the endocrine system in wildlife. Many of these EDCs are present in treated Irish sewage effluents and landfill leachate and have recently been identified in Irish rivers. The effects of exposure to EDCs were investigated in Irish brown trout (Salmo trutta), sampled from selected Irish rivers downstream of Irish wastewater treatment plants (WWTPs) with control fish sampled upstream of the same WWTP. The effects were also investigated in Irish roach (Rutilus rutilus) sampled downstream of Irish WWTPs. Control roach were sampled from a pristine salmon fishery river (River Deel), located in the west of Ireland. Histopathological and macroscopic analyses of downstream trout showed no adverse reproductive effects, compared to control fish sampled upstream of the WWTP. Statistically significant (p < 0.05) populations of wild roach from three sampled Shannon basin rivers were, however, observed to be phenotypically intersex (ovo-testis) when compared to the control river. This, it is hypothesised, is as a direct result of exposure to WWTP effluents. The results reported herein are the first observations of intersex fish in Irish rivers.",Intersex fish
59,"PHOTO-IDENTIFICATION OF BOTTLENOSE DOLPHINS (TURSIOPS TRUNCATUS) IN TRALEE BAY AND BRANDON BAY, CO. KERRY: A CASE FOR SAC BOUNDARY EXTENSION","The Lower River Shannon is a Special Area of Conservation (SAC) with bottlenose dolphins (Tursiops truncatus) as a qualifying interest, and is one of only two SACs for this species in Ireland. Bottlenose dolphins in the Shannon Estuary are present year-round and genetically discrete from other populations in Ireland. They have regularly been reported from Tralee Bay and Brandon Bay, Co. Kerry, adjacent to the Lower River Shannon SAC boundary. In order to determine the provenance of these dolphins, photo -identification data collected between 2008 and 2016 from both bays were used to identify individuals and match them to existing bottlenose dolphin catalogues in Ireland. Bottlenose dolphins were observed on over 90% of the 13 trips carried out, with photo -identification data collected on 11 of these trips. A total of 70 individual dolphins were identified, of which 67 have been regularly recorded within the Lower River Shannon SAC, confirming them to be from this population. Shannon dolphins represented an average of 98% of dolphins photographed during each survey. Of the estimated 108 individual adult dolphins extant in the Shannon population, 62% were identified in Brandon Bay and/ or Tralee Bay during the study period. A discovery curve of individuals identified did not reach a plateau, suggesting that not all dolphins occurring in these bays were photographed during the study. Results suggest that these areas are of high importance to the Shannon dolphin population and support the need to extend the current boundary of the Lower River Shannon SAC to include Brandon Bay and Tralee Bay.",Multiple bottlenose dolphins are mentioned in the article.
60,"EVIDENCE OF THE WINTER OCCURRENCE OF THE WHITEFISH COREGONUS POLLAN THOMPSON, 1835 IN THE SHANNON RIVER, IRELAND","Coregonus pollan Thompson, 1835 is an Irish endemic whitefish with five known lake populations. Lough Derg has the most downstream population of three lakes in the Shannon catchment. We report on the occurrence of recently hatched larvae from a river section captured above Lough Derg during March 2011. This is the first indication of a downstream movement of larval pollan to a lake, which could have important implications for conservation of this red-listed teleost. This finding is consistent with earlier reports of adult pollan, in spawning condition, captured in fyke nets upstream of Lough Derg. There are also accounts of pollan spawning in the river section below Lough Derg during the 1960s, when they were once common.",Child exploitation and abandonment
61,Methyl-beta-cyclodextrin enhanced biodegradation of polycyclic aromatic hydrocarbons and associated microbial activity in contaminated soil,"The contamination of soils by polycyclic aromatic hydrocarbons (PAHs) is a widespread environmental problem and the remediation of PAHs from these areas has been a major concern. The effectiveness of many in situ bioremediation systems may be constrained by low contaminant bioavailability due to limited aqueous solubility or a large magnitude of sorption. The objective of this research was to evaluate the effect of methyl-beta-cyclodextrin (MCD) on bioaugmentation by Paracoccus sp. strain HPD-2 of an aged PAH-contaminated soil. When 10% (W/W) MCD amendment was combined with bioaugmentation by the PAH-degrading bacterium Paracoccus sp. strain HPD-2, the percentage degradation of total PAHs was significantly enhanced up to 34.8%. Higher counts of culturable PAH-degrading bacteria and higher soil dehydrogenase and soil polyphenol oxidase activities were observed in 10% (W/W) MCD-assisted bioaugmentation soil. This MCD-assisted bioaugmentation strategy showed significant increases (p < 0.05) in the average well color development (AWCD) obtained by the BIOLOG Eco plate assay, Shannon-Weaver index (H) and Simpson index (X) compared with the controls, implying that this strategy at least partially restored the microbiological functioning of the PAH-contaminated soil. The results suggest that MCD-aided bioaugmentation by Paracoccus sp. strain HPD-2 may be a promising practical bioremediation strategy for aged PAH-contaminated soils.",Environmental degradation and bioavailability
62,"Integration of biological effects, fish histopathology and contaminant measurements for the assessment of fish health: A pilot application in Irish marine waters","This study investigates the use of a weight of evidence (WOE) approach to evaluate fish health status and biological effects (BEs) of contaminants for assessment of ecosystem health and discusses its potential application in support of the Marine Strategy Framework Directive (MSFD). External fish disease, liver histopathology and several BEs of contaminant exposure including 7-ethoxy resorufin O-de-ethylase (EROD), acetylcholinesterase (AChE), bile metabolites, vitellogenin (VTG) and alkali labile phosphates (ALP) were measured in two flatfish species from four locations in Ireland. Contaminant levels in fish were generally low with PCBs in fish liver below OSPAR environmental assessment criteria (EAC). There were consistencies with low PCB levels, EROD and PAH bile metabolite levels detected in fish. Dab from Cork, Dublin and Shannon had the highest relative prevalence of liver lesions associated with the carcinogenic pathway. An integrated biomarker response (IBR) showed promise to be useful for evaluation of environmental risk, although more contaminant parameters in liver are required for a full assessment with the present study. Crown Copyright (C) 2017 Published by Elsevier Ltd. All rights reserved.",Environmental risk and resource use
